user_node,cell_list,clo,heartRate_cozie,responseSpeed_cozie,comfort_cozie,noise_cozie,thermal_cozie,light_cozie,user_id,thermal_label
u_05,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_17', 'c_18', 'c_19', 'c_25', 'c_26', 'c_27', 'c_28', 'c_33', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_315', 'c_316', 'c_317', 'c_329', 'c_330', 'c_331', 'c_332', 'c_333', 'c_340', 'c_341', 'c_342', 'c_343', 'c_344', 'c_350', 'c_351', 'c_352', 'c_353', 'c_354', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_366', 'c_367', 'c_368', 'c_369', 'c_374', 'c_375']",9.0,98.0,4.7940000000000005,10.0,10.0,10.0,10.0,cresh05,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_05,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_17', 'c_18', 'c_19', 'c_25', 'c_26', 'c_27', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_314', 'c_315', 'c_316', 'c_317', 'c_318', 'c_328', 'c_329', 'c_330', 'c_331', 'c_332', 'c_333', 'c_340', 'c_341', 'c_342', 'c_343', 'c_344', 'c_350', 'c_351', 'c_352', 'c_353', 'c_354', 'c_358', 'c_359', 'c_360', 'c_361', 'c_366', 'c_367', 'c_368', 'c_369']",9.0,108.0,5.994,10.0,10.0,10.0,9.0,cresh05,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_13,"['c_171', 'c_172', 'c_175', 'c_451', 'c_452', 'c_453', 'c_454', 'c_455', 'c_456', 'c_457', 'c_458', 'c_459', 'c_460', 'c_461', 'c_462', 'c_463', 'c_464', 'c_465', 'c_466', 'c_467', 'c_468', 'c_469', 'c_470', 'c_471', 'c_472', 'c_473', 'c_474', 'c_475', 'c_476', 'c_477', 'c_478', 'c_480', 'c_481']",9.0,70.0,9.376,10.0,11.0,11.0,10.0,cresh13,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
