user_node,cell_list,clo,heartRate_cozie,responseSpeed_cozie,comfort_cozie,noise_cozie,thermal_cozie,light_cozie,user_id,thermal_label
u_22,"['c_2', 'c_3', 'c_4', 'c_5', 'c_17', 'c_18', 'c_19', 'c_20', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_33', 'c_34', 'c_35', 'c_36', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_46', 'c_65', 'c_350', 'c_351', 'c_352', 'c_353', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_366', 'c_367', 'c_368', 'c_369', 'c_370', 'c_374', 'c_375', 'c_376', 'c_377', 'c_380', 'c_381', 'c_382', 'c_383', 'c_384', 'c_398', 'c_399', 'c_400', 'c_401', 'c_402', 'c_422', 'c_424', 'c_425', 'c_426', 'c_547']",10.0,84.0,10.677,10.0,10.0,11.0,10.0,cresh22,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_22,"['c_159', 'c_160', 'c_161', 'c_162', 'c_163', 'c_164', 'c_165', 'c_166', 'c_167', 'c_168', 'c_169', 'c_178', 'c_179', 'c_180', 'c_181', 'c_182', 'c_183', 'c_184', 'c_185', 'c_186', 'c_187', 'c_188', 'c_189', 'c_190', 'c_191', 'c_192', 'c_193', 'c_194', 'c_195', 'c_196', 'c_197', 'c_198', 'c_199', 'c_200', 'c_201', 'c_208', 'c_209', 'c_210', 'c_211', 'c_212', 'c_213', 'c_214', 'c_215', 'c_223', 'c_224', 'c_225', 'c_226', 'c_227', 'c_440', 'c_441', 'c_442', 'c_443', 'c_444', 'c_445', 'c_446', 'c_447', 'c_448', 'c_449', 'c_450']",10.0,88.0,9.208,10.0,10.0,10.0,10.0,cresh22,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_09,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_8', 'c_17', 'c_18', 'c_25', 'c_26', 'c_62', 'c_63', 'c_64', 'c_65', 'c_315', 'c_316', 'c_317', 'c_318', 'c_319', 'c_329', 'c_330', 'c_331', 'c_332', 'c_333', 'c_334', 'c_335', 'c_340', 'c_341', 'c_342', 'c_343', 'c_344', 'c_345', 'c_350', 'c_351', 'c_352', 'c_353', 'c_354', 'c_355', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_366', 'c_367', 'c_368', 'c_369', 'c_370']",9.0,98.0,3.777,9.0,10.0,11.0,9.0,cresh09,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
