user_node,cell_list,clo,heartRate_cozie,responseSpeed_cozie,comfort_cozie,noise_cozie,thermal_cozie,light_cozie,user_id,thermal_label
u_25,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_11', 'c_12', 'c_13', 'c_16', 'c_17', 'c_18', 'c_19', 'c_20', 'c_21', 'c_25', 'c_26', 'c_28', 'c_58', 'c_59', 'c_60', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_298', 'c_299', 'c_300', 'c_311', 'c_312', 'c_313', 'c_314', 'c_315', 'c_316', 'c_326', 'c_327', 'c_328', 'c_329', 'c_330', 'c_331', 'c_332', 'c_340', 'c_341', 'c_342', 'c_350', 'c_351', 'c_352', 'c_359', 'c_360', 'c_368']",9.0,102.0,8.474,10.0,10.0,10.0,10.0,cresh25,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_25,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_11', 'c_12', 'c_13', 'c_14', 'c_15', 'c_16', 'c_17', 'c_18', 'c_19', 'c_20', 'c_21', 'c_22', 'c_54', 'c_55', 'c_58', 'c_59', 'c_60', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_297', 'c_298', 'c_299', 'c_300', 'c_311', 'c_312', 'c_313', 'c_314', 'c_315', 'c_316', 'c_325', 'c_326', 'c_327', 'c_328', 'c_329', 'c_330', 'c_331', 'c_340', 'c_341', 'c_351', 'c_352', 'c_360']",9.0,102.0,360.16,,10.0,10.0,9.0,cresh25,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_25,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_11', 'c_12', 'c_13', 'c_16', 'c_17', 'c_18', 'c_19', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_30', 'c_31', 'c_33', 'c_34', 'c_35', 'c_36', 'c_58', 'c_59', 'c_60', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_313', 'c_314', 'c_327', 'c_328', 'c_329', 'c_330', 'c_331', 'c_340', 'c_341', 'c_350', 'c_351', 'c_352', 'c_358', 'c_359', 'c_360', 'c_367', 'c_368']",9.0,91.0,4.078,10.0,10.0,10.0,9.0,cresh25,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_25,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_12', 'c_13', 'c_17', 'c_18', 'c_19', 'c_20', 'c_21', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_33', 'c_34', 'c_35', 'c_59', 'c_60', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_314', 'c_315', 'c_316', 'c_327', 'c_328', 'c_329', 'c_330', 'c_331', 'c_332', 'c_340', 'c_341', 'c_342', 'c_350', 'c_351', 'c_352', 'c_353', 'c_358', 'c_359', 'c_360', 'c_366', 'c_367', 'c_368', 'c_375']",9.0,87.0,5.17,9.0,11.0,10.0,9.0,cresh25,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_26,"['c_0', 'c_1', 'c_7', 'c_8', 'c_10', 'c_12', 'c_13', 'c_16', 'c_54', 'c_58', 'c_59', 'c_60', 'c_61', 'c_62', 'c_63', 'c_64', 'c_266', 'c_267', 'c_268', 'c_269', 'c_280', 'c_281', 'c_282', 'c_283', 'c_284', 'c_285', 'c_295', 'c_296', 'c_297', 'c_298', 'c_299', 'c_300', 'c_308', 'c_310', 'c_311', 'c_312', 'c_313', 'c_314', 'c_315', 'c_325', 'c_326', 'c_327', 'c_328', 'c_329', 'c_330']",9.0,94.0,3413.119,,10.0,10.0,10.0,cresh26,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
