user_node,cell_list,clo,heartRate_cozie,responseSpeed_cozie,comfort_cozie,noise_cozie,thermal_cozie,light_cozie,user_id,thermal_label
u_37,"['c_76', 'c_77', 'c_78', 'c_79', 'c_80', 'c_81', 'c_82', 'c_83', 'c_84', 'c_85', 'c_86', 'c_87', 'c_88', 'c_89', 'c_91', 'c_102', 'c_103', 'c_104', 'c_105', 'c_106', 'c_107', 'c_112', 'c_113', 'c_114', 'c_115', 'c_116', 'c_117', 'c_118', 'c_124', 'c_125', 'c_126', 'c_127', 'c_128', 'c_134', 'c_135', 'c_136', 'c_137', 'c_138', 'c_139', 'c_140', 'c_141', 'c_152', 'c_153', 'c_154', 'c_155', 'c_156', 'c_157', 'c_158', 'c_423', 'c_424', 'c_545', 'c_546', 'c_548', 'c_549', 'c_551', 'c_552', 'c_587', 'c_618', 'c_619', 'c_620', 'c_621', 'c_622', 'c_623', 'c_624', 'c_625', 'c_626']",10.0,72.0,9.08,10.0,,10.0,10.0,cresh37,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_36,"['c_76', 'c_77', 'c_78', 'c_79', 'c_80', 'c_81', 'c_82', 'c_83', 'c_84', 'c_85', 'c_86', 'c_87', 'c_88', 'c_89', 'c_90', 'c_91', 'c_102', 'c_103', 'c_104', 'c_105', 'c_106', 'c_107', 'c_112', 'c_113', 'c_114', 'c_115', 'c_116', 'c_117', 'c_118', 'c_124', 'c_125', 'c_126', 'c_127', 'c_128', 'c_129', 'c_134', 'c_135', 'c_136', 'c_137', 'c_138', 'c_139', 'c_140', 'c_141', 'c_154', 'c_155', 'c_156', 'c_157', 'c_423', 'c_424', 'c_539', 'c_540', 'c_541', 'c_545', 'c_546', 'c_548', 'c_549', 'c_551', 'c_552', 'c_618', 'c_619', 'c_620', 'c_621', 'c_622', 'c_624', 'c_625']",9.0,70.0,5.1160000000000005,,10.0,11.0,10.0,cresh36,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_35,"['c_560', 'c_561', 'c_562', 'c_563', 'c_564', 'c_565', 'c_566', 'c_567', 'c_568', 'c_569', 'c_570', 'c_571', 'c_572', 'c_573', 'c_574', 'c_575', 'c_597', 'c_601', 'c_602', 'c_603', 'c_604', 'c_605', 'c_606', 'c_607', 'c_608', 'c_609', 'c_610', 'c_611', 'c_612', 'c_613', 'c_614', 'c_615', 'c_616', 'c_617']",9.0,72.0,641.715,,10.0,10.0,10.0,cresh35,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
