user_node,cell_list,clo,heartRate_cozie,responseSpeed_cozie,comfort_cozie,noise_cozie,thermal_cozie,light_cozie,user_id,thermal_label
u_17,"['c_235', 'c_236', 'c_237', 'c_238', 'c_239', 'c_248', 'c_249', 'c_250', 'c_251', 'c_252', 'c_253', 'c_254', 'c_266', 'c_267', 'c_268', 'c_269', 'c_270', 'c_271', 'c_272', 'c_281', 'c_282', 'c_283', 'c_284', 'c_285', 'c_286', 'c_287', 'c_297', 'c_298', 'c_299', 'c_300', 'c_301', 'c_302', 'c_312', 'c_313', 'c_314', 'c_315', 'c_316']",9.0,83.0,3.2510000000000003,10.0,11.0,9.0,11.0,cresh17,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
u_20,"['c_233', 'c_234', 'c_235', 'c_236', 'c_245', 'c_247', 'c_248', 'c_249', 'c_250', 'c_251', 'c_263', 'c_264', 'c_265', 'c_266', 'c_267', 'c_268', 'c_269', 'c_278', 'c_279', 'c_280', 'c_281', 'c_282', 'c_283', 'c_284', 'c_293', 'c_294', 'c_295', 'c_296', 'c_297', 'c_298', 'c_299', 'c_308', 'c_310', 'c_311', 'c_312', 'c_313', 'c_326']",10.0,89.0,7.357,,10.0,10.0,10.0,cresh20,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_20,"['c_17', 'c_18', 'c_19', 'c_20', 'c_21', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_30', 'c_31', 'c_33', 'c_34', 'c_35', 'c_36', 'c_37', 'c_38', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_46', 'c_47', 'c_48', 'c_49', 'c_50', 'c_51', 'c_52', 'c_76', 'c_77', 'c_78', 'c_79', 'c_85', 'c_86', 'c_88', 'c_156', 'c_367', 'c_368', 'c_374', 'c_375', 'c_380', 'c_381', 'c_382', 'c_398', 'c_399', 'c_400', 'c_401', 'c_422', 'c_423', 'c_424', 'c_425', 'c_428', 'c_538', 'c_539', 'c_540', 'c_541', 'c_542', 'c_543', 'c_544', 'c_545', 'c_546', 'c_547', 'c_548', 'c_549', 'c_550', 'c_551', 'c_552']",10.0,90.0,3.56,10.0,10.0,10.0,10.0,cresh20,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
