user_node,cell_list,clo,heartRate_cozie,responseSpeed_cozie,comfort_cozie,noise_cozie,thermal_cozie,light_cozie,user_id,thermal_label
u_07,"['c_17', 'c_18', 'c_25', 'c_26', 'c_27', 'c_33', 'c_34', 'c_41', 'c_42', 'c_350', 'c_351', 'c_353', 'c_354', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_363', 'c_366', 'c_367', 'c_368', 'c_369', 'c_370', 'c_371', 'c_373', 'c_374', 'c_375', 'c_376', 'c_377', 'c_378', 'c_379', 'c_380', 'c_381', 'c_382', 'c_383', 'c_384', 'c_385', 'c_387', 'c_398', 'c_399', 'c_400', 'c_401', 'c_402', 'c_403', 'c_404', 'c_405', 'c_426', 'c_429', 'c_430']",10.0,83.0,5.337999999999999,10.0,10.0,10.0,9.0,cresh07,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_01,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_11', 'c_12', 'c_13', 'c_14', 'c_15', 'c_16', 'c_17', 'c_18', 'c_19', 'c_20', 'c_21', 'c_22', 'c_23', 'c_24', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_30', 'c_31', 'c_32', 'c_36', 'c_37', 'c_54', 'c_55', 'c_56', 'c_57', 'c_58', 'c_59', 'c_60', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_72', 'c_73', 'c_75', 'c_312', 'c_313', 'c_325', 'c_326', 'c_327', 'c_328', 'c_329', 'c_330', 'c_352', 'c_360']",9.0,87.0,5.934,10.0,10.0,10.0,9.0,cresh01,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_07,"['c_18', 'c_19', 'c_20', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_30', 'c_33', 'c_34', 'c_35', 'c_36', 'c_37', 'c_38', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_46', 'c_47', 'c_48', 'c_49', 'c_50', 'c_51', 'c_52', 'c_76', 'c_77', 'c_78', 'c_79', 'c_80', 'c_81', 'c_82', 'c_83', 'c_84', 'c_85', 'c_86', 'c_88', 'c_91', 'c_156', 'c_157', 'c_367', 'c_374', 'c_375', 'c_380', 'c_381', 'c_382', 'c_398', 'c_399', 'c_400', 'c_401', 'c_422', 'c_423', 'c_424', 'c_425', 'c_426', 'c_427', 'c_428', 'c_538', 'c_539', 'c_540', 'c_541', 'c_542', 'c_543', 'c_544', 'c_545', 'c_546', 'c_547', 'c_548', 'c_549', 'c_550', 'c_551', 'c_552']",10.0,90.0,4.085,10.0,10.0,10.0,9.0,cresh07,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_01,"['c_0', 'c_1', 'c_2', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_11', 'c_12', 'c_13', 'c_14', 'c_15', 'c_16', 'c_19', 'c_20', 'c_21', 'c_22', 'c_23', 'c_24', 'c_29', 'c_30', 'c_31', 'c_32', 'c_38', 'c_40', 'c_54', 'c_55', 'c_56', 'c_57', 'c_58', 'c_59', 'c_60', 'c_61', 'c_62', 'c_63', 'c_71', 'c_72', 'c_73', 'c_74', 'c_75', 'c_310', 'c_311', 'c_312', 'c_313', 'c_323', 'c_325', 'c_326', 'c_327', 'c_328', 'c_329', 'c_338', 'c_339', 'c_348', 'c_349']",9.0,77.0,293.283,,10.0,10.0,10.0,cresh01,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_01,"['c_0', 'c_1', 'c_2', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_11', 'c_12', 'c_13', 'c_14', 'c_15', 'c_16', 'c_19', 'c_20', 'c_21', 'c_22', 'c_23', 'c_24', 'c_29', 'c_30', 'c_31', 'c_32', 'c_38', 'c_40', 'c_54', 'c_55', 'c_56', 'c_57', 'c_58', 'c_59', 'c_60', 'c_61', 'c_62', 'c_63', 'c_71', 'c_72', 'c_73', 'c_74', 'c_75', 'c_310', 'c_311', 'c_312', 'c_313', 'c_323', 'c_325', 'c_326', 'c_327', 'c_328', 'c_329', 'c_338', 'c_339', 'c_348', 'c_349']",9.0,61.0,3.252,10.0,10.0,10.0,9.0,cresh01,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_07,"['c_36', 'c_37', 'c_38', 'c_39', 'c_40', 'c_44', 'c_45', 'c_46', 'c_47', 'c_48', 'c_49', 'c_50', 'c_51', 'c_52', 'c_53', 'c_66', 'c_67', 'c_68', 'c_69', 'c_76', 'c_77', 'c_83', 'c_84', 'c_85', 'c_86', 'c_87', 'c_88', 'c_89', 'c_90', 'c_91', 'c_92', 'c_93', 'c_94', 'c_95', 'c_96', 'c_97', 'c_100', 'c_101', 'c_105', 'c_106', 'c_107', 'c_108', 'c_395', 'c_396', 'c_397', 'c_412', 'c_414', 'c_415', 'c_416', 'c_417', 'c_418', 'c_419', 'c_420', 'c_421', 'c_538', 'c_539', 'c_540', 'c_541', 'c_542', 'c_543', 'c_544', 'c_545', 'c_546', 'c_547', 'c_548', 'c_549', 'c_550', 'c_552']",10.0,91.0,968.892,,10.0,10.0,10.0,cresh07,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
