user_node,cell_list,clo,heartRate_cozie,responseSpeed_cozie,comfort_cozie,noise_cozie,thermal_cozie,light_cozie,user_id,thermal_label
u_22,"['c_159', 'c_160', 'c_161', 'c_162', 'c_163', 'c_164', 'c_165', 'c_166', 'c_167', 'c_168', 'c_169', 'c_185', 'c_186', 'c_187', 'c_188', 'c_189', 'c_190', 'c_191', 'c_192', 'c_193', 'c_194', 'c_195', 'c_196', 'c_197', 'c_198', 'c_199', 'c_200', 'c_201', 'c_202', 'c_203', 'c_204', 'c_210', 'c_211', 'c_212', 'c_213', 'c_214', 'c_215', 'c_216', 'c_217', 'c_218', 'c_224', 'c_225', 'c_226', 'c_227', 'c_228', 'c_229', 'c_230', 'c_237', 'c_238', 'c_239', 'c_240', 'c_241', 'c_440', 'c_441', 'c_442', 'c_443', 'c_444', 'c_445', 'c_446', 'c_447', 'c_448', 'c_449', 'c_450', 'c_496', 'c_497', 'c_498', 'c_513', 'c_516', 'c_517', 'c_518', 'c_519', 'c_520']",10.0,81.0,8.115,9.0,11.0,11.0,9.0,cresh22,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_12,"['c_77', 'c_78', 'c_79', 'c_80', 'c_81', 'c_82', 'c_102', 'c_152', 'c_153', 'c_154', 'c_155', 'c_156', 'c_157', 'c_158', 'c_380', 'c_381', 'c_383', 'c_384', 'c_398', 'c_399', 'c_400', 'c_401', 'c_402', 'c_403', 'c_404', 'c_405', 'c_408', 'c_422', 'c_423', 'c_424', 'c_425', 'c_426', 'c_427', 'c_428', 'c_429', 'c_430', 'c_431', 'c_432', 'c_433', 'c_434', 'c_435', 'c_437', 'c_438', 'c_439', 'c_551', 'c_552', 'c_553', 'c_554', 'c_555', 'c_556', 'c_557', 'c_558', 'c_559', 'c_576', 'c_577', 'c_578', 'c_579', 'c_580', 'c_581', 'c_582', 'c_583', 'c_584', 'c_585', 'c_586', 'c_587', 'c_588', 'c_595', 'c_618', 'c_619', 'c_621', 'c_622', 'c_623']",9.0,69.0,14.296,,11.0,10.0,10.0,cresh12,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_09,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_11', 'c_12', 'c_13', 'c_14', 'c_15', 'c_16', 'c_17', 'c_18', 'c_19', 'c_20', 'c_21', 'c_22', 'c_23', 'c_24', 'c_28', 'c_29', 'c_30', 'c_31', 'c_32', 'c_37', 'c_38', 'c_40', 'c_54', 'c_55', 'c_56', 'c_57', 'c_58', 'c_59', 'c_60', 'c_61', 'c_62', 'c_63', 'c_65', 'c_71', 'c_72', 'c_73', 'c_74', 'c_75', 'c_311', 'c_312', 'c_323', 'c_325', 'c_326', 'c_327', 'c_328', 'c_329', 'c_338', 'c_348']",9.0,89.0,14.924,10.0,10.0,10.0,10.0,cresh09,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_09,"['c_0', 'c_1', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_11', 'c_12', 'c_13', 'c_14', 'c_15', 'c_16', 'c_19', 'c_20', 'c_21', 'c_22', 'c_23', 'c_24', 'c_29', 'c_30', 'c_31', 'c_32', 'c_37', 'c_38', 'c_40', 'c_54', 'c_55', 'c_56', 'c_57', 'c_58', 'c_59', 'c_60', 'c_61', 'c_62', 'c_63', 'c_71', 'c_72', 'c_73', 'c_74', 'c_75', 'c_310', 'c_311', 'c_312', 'c_323', 'c_325', 'c_326', 'c_327', 'c_328', 'c_338', 'c_339', 'c_348', 'c_349', 'c_531']",9.0,96.0,1142.244,,10.0,10.0,10.0,cresh09,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_09,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_11', 'c_12', 'c_13', 'c_14', 'c_15', 'c_16', 'c_17', 'c_18', 'c_19', 'c_20', 'c_21', 'c_22', 'c_23', 'c_24', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_30', 'c_31', 'c_32', 'c_35', 'c_36', 'c_37', 'c_38', 'c_39', 'c_40', 'c_46', 'c_47', 'c_48', 'c_49', 'c_50', 'c_51', 'c_52', 'c_53', 'c_54', 'c_55', 'c_56', 'c_57', 'c_58', 'c_59', 'c_60', 'c_61', 'c_62', 'c_63', 'c_70', 'c_71', 'c_72', 'c_73', 'c_74', 'c_75', 'c_326', 'c_327', 'c_328']",9.0,87.0,2.169,10.0,10.0,10.0,10.0,cresh09,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
