user_node,cell_list,clo,heartRate_cozie,responseSpeed_cozie,comfort_cozie,noise_cozie,thermal_cozie,light_cozie,user_id,thermal_label
u_09,"['c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_17', 'c_18', 'c_19', 'c_25', 'c_26', 'c_27', 'c_33', 'c_34', 'c_41', 'c_64', 'c_65', 'c_331', 'c_332', 'c_333', 'c_340', 'c_341', 'c_342', 'c_343', 'c_344', 'c_350', 'c_351', 'c_352', 'c_353', 'c_354', 'c_355', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_363', 'c_366', 'c_367', 'c_368', 'c_369', 'c_370', 'c_371', 'c_374', 'c_375', 'c_376', 'c_377', 'c_380', 'c_381', 'c_382', 'c_383']",9.0,95.0,11.674,9.0,10.0,11.0,10.0,cresh09,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_06,"['c_7', 'c_9', 'c_10', 'c_11', 'c_12', 'c_13', 'c_14', 'c_15', 'c_16', 'c_22', 'c_23', 'c_24', 'c_54', 'c_55', 'c_56', 'c_57', 'c_58', 'c_59', 'c_60', 'c_61', 'c_71', 'c_72', 'c_73', 'c_74', 'c_75', 'c_293', 'c_294', 'c_295', 'c_296', 'c_308', 'c_309', 'c_310', 'c_311', 'c_312', 'c_323', 'c_324', 'c_325', 'c_326', 'c_327', 'c_328', 'c_338', 'c_339', 'c_348', 'c_349', 'c_525', 'c_526', 'c_527', 'c_528', 'c_529', 'c_530', 'c_531', 'c_535']",10.0,101.0,2865.935,,11.0,11.0,10.0,cresh06,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_06,"['c_9', 'c_10', 'c_11', 'c_12', 'c_13', 'c_14', 'c_15', 'c_16', 'c_21', 'c_22', 'c_23', 'c_24', 'c_30', 'c_31', 'c_32', 'c_38', 'c_39', 'c_40', 'c_53', 'c_54', 'c_55', 'c_56', 'c_57', 'c_58', 'c_59', 'c_66', 'c_67', 'c_68', 'c_69', 'c_70', 'c_71', 'c_72', 'c_73', 'c_74', 'c_75', 'c_323', 'c_324', 'c_325', 'c_338', 'c_339', 'c_348', 'c_349', 'c_393', 'c_394', 'c_526', 'c_527', 'c_529', 'c_530', 'c_531', 'c_532', 'c_533', 'c_534', 'c_535', 'c_536', 'c_537']",10.0,90.0,3.938,9.0,11.0,11.0,10.0,cresh06,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
