user_node,cell_list,clo,heartRate_cozie,responseSpeed_cozie,comfort_cozie,noise_cozie,thermal_cozie,light_cozie,user_id,thermal_label
u_16,"['c_3', 'c_4', 'c_17', 'c_18', 'c_19', 'c_25', 'c_26', 'c_27', 'c_28', 'c_33', 'c_34', 'c_35', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_157', 'c_350', 'c_351', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_366', 'c_367', 'c_368', 'c_369', 'c_370', 'c_374', 'c_375', 'c_376', 'c_377', 'c_378', 'c_380', 'c_381', 'c_382', 'c_383', 'c_384', 'c_398', 'c_399', 'c_400', 'c_401', 'c_402', 'c_403', 'c_422', 'c_423', 'c_424', 'c_425', 'c_426', 'c_427', 'c_428', 'c_429', 'c_430', 'c_433', 'c_547', 'c_551', 'c_579']",9.0,93.0,5.39,10.0,10.0,11.0,9.0,cresh16,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_18,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_8', 'c_17', 'c_18', 'c_19', 'c_25', 'c_26', 'c_62', 'c_63', 'c_64', 'c_65', 'c_315', 'c_316', 'c_317', 'c_318', 'c_329', 'c_330', 'c_331', 'c_332', 'c_333', 'c_334', 'c_340', 'c_341', 'c_342', 'c_343', 'c_344', 'c_350', 'c_351', 'c_352', 'c_353', 'c_354', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_366', 'c_367', 'c_368', 'c_369']",9.0,64.0,6.6389999999999985,10.0,11.0,10.0,9.0,cresh18,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_16,"['c_17', 'c_18', 'c_25', 'c_26', 'c_27', 'c_28', 'c_33', 'c_34', 'c_35', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_78', 'c_79', 'c_152', 'c_156', 'c_157', 'c_158', 'c_358', 'c_359', 'c_361', 'c_366', 'c_367', 'c_368', 'c_369', 'c_370', 'c_374', 'c_375', 'c_376', 'c_377', 'c_378', 'c_380', 'c_381', 'c_382', 'c_383', 'c_384', 'c_385', 'c_398', 'c_399', 'c_400', 'c_401', 'c_402', 'c_403', 'c_404', 'c_405', 'c_422', 'c_423', 'c_424', 'c_425', 'c_426', 'c_427', 'c_428', 'c_429', 'c_430', 'c_431', 'c_432', 'c_433', 'c_547', 'c_548', 'c_550', 'c_551', 'c_552', 'c_553', 'c_554', 'c_578', 'c_579', 'c_580', 'c_581', 'c_582']",9.0,93.0,6.24,10.0,10.0,10.0,9.0,cresh16,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_23,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_11', 'c_17', 'c_18', 'c_19', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_30', 'c_31', 'c_33', 'c_34', 'c_35', 'c_36', 'c_37', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_46', 'c_47', 'c_48', 'c_49', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_340', 'c_341', 'c_350', 'c_351', 'c_352', 'c_358', 'c_359', 'c_360', 'c_366', 'c_367', 'c_368', 'c_374', 'c_375', 'c_381', 'c_382', 'c_401', 'c_550']",10.0,96.0,10.985,10.0,11.0,10.0,9.0,cresh23,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_18,"['c_18', 'c_19', 'c_20', 'c_21', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_30', 'c_31', 'c_33', 'c_34', 'c_35', 'c_36', 'c_37', 'c_38', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_46', 'c_47', 'c_48', 'c_49', 'c_50', 'c_51', 'c_52', 'c_53', 'c_76', 'c_77', 'c_78', 'c_79', 'c_83', 'c_85', 'c_86', 'c_88', 'c_91', 'c_156', 'c_367', 'c_375', 'c_380', 'c_381', 'c_382', 'c_399', 'c_400', 'c_401', 'c_418', 'c_419', 'c_422', 'c_423', 'c_424', 'c_425', 'c_428', 'c_538', 'c_539', 'c_540', 'c_541', 'c_542', 'c_543', 'c_544', 'c_545', 'c_546', 'c_547', 'c_548', 'c_549', 'c_550', 'c_551', 'c_552']",9.0,78.0,7.579,10.0,11.0,11.0,9.0,cresh18,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_16,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_17', 'c_18', 'c_19', 'c_20', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_33', 'c_34', 'c_35', 'c_41', 'c_42', 'c_43', 'c_44', 'c_62', 'c_63', 'c_64', 'c_65', 'c_331', 'c_340', 'c_341', 'c_342', 'c_343', 'c_350', 'c_351', 'c_352', 'c_353', 'c_354', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_366', 'c_367', 'c_368', 'c_369', 'c_370', 'c_374', 'c_375', 'c_376', 'c_380', 'c_381', 'c_382', 'c_401']",9.0,85.0,6.9110000000000005,10.0,10.0,11.0,10.0,cresh16,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_23,"['c_25', 'c_26', 'c_27', 'c_33', 'c_34', 'c_35', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_77', 'c_78', 'c_79', 'c_80', 'c_81', 'c_152', 'c_153', 'c_154', 'c_155', 'c_156', 'c_157', 'c_158', 'c_366', 'c_367', 'c_368', 'c_369', 'c_374', 'c_375', 'c_376', 'c_377', 'c_380', 'c_381', 'c_382', 'c_383', 'c_384', 'c_398', 'c_399', 'c_400', 'c_401', 'c_402', 'c_403', 'c_404', 'c_405', 'c_422', 'c_423', 'c_424', 'c_425', 'c_426', 'c_427', 'c_428', 'c_429', 'c_430', 'c_431', 'c_432', 'c_433', 'c_434', 'c_435', 'c_547', 'c_548', 'c_549', 'c_550', 'c_551', 'c_552', 'c_553', 'c_554', 'c_555', 'c_558', 'c_559', 'c_576', 'c_577', 'c_578', 'c_579', 'c_580', 'c_581', 'c_582']",10.0,85.0,11.259,10.0,11.0,10.0,9.0,cresh23,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_19,"['c_2', 'c_3', 'c_4', 'c_5', 'c_17', 'c_18', 'c_19', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_33', 'c_34', 'c_35', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_65', 'c_350', 'c_351', 'c_352', 'c_353', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_366', 'c_367', 'c_368', 'c_369', 'c_370', 'c_374', 'c_375', 'c_376', 'c_377', 'c_380', 'c_381', 'c_382', 'c_383', 'c_384', 'c_398', 'c_399', 'c_400', 'c_401', 'c_402', 'c_422', 'c_425', 'c_426', 'c_547']",9.0,66.0,7.487,10.0,10.0,10.0,9.0,cresh19,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_18,"['c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_17', 'c_18', 'c_19', 'c_20', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_33', 'c_34', 'c_35', 'c_36', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_65', 'c_341', 'c_350', 'c_351', 'c_352', 'c_353', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_366', 'c_367', 'c_368', 'c_369', 'c_370', 'c_374', 'c_375', 'c_376', 'c_377', 'c_380', 'c_381', 'c_382', 'c_383', 'c_384', 'c_398', 'c_399', 'c_400', 'c_401', 'c_402', 'c_425']",9.0,101.0,8.162,10.0,11.0,11.0,9.0,cresh18,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_16,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_17', 'c_18', 'c_19', 'c_20', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_33', 'c_34', 'c_35', 'c_36', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_46', 'c_47', 'c_65', 'c_350', 'c_351', 'c_352', 'c_358', 'c_359', 'c_360', 'c_361', 'c_366', 'c_367', 'c_368', 'c_369', 'c_374', 'c_375', 'c_376', 'c_380', 'c_381', 'c_382', 'c_383', 'c_398', 'c_399', 'c_400', 'c_401', 'c_422', 'c_424', 'c_425', 'c_547', 'c_550']",9.0,89.0,9.933,10.0,10.0,10.0,10.0,cresh16,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
