user_node,cell_list,clo,heartRate_cozie,responseSpeed_cozie,comfort_cozie,noise_cozie,thermal_cozie,light_cozie,user_id,thermal_label
u_15,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_17', 'c_18', 'c_19', 'c_20', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_33', 'c_60', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_314', 'c_315', 'c_316', 'c_328', 'c_329', 'c_330', 'c_331', 'c_332', 'c_333', 'c_340', 'c_341', 'c_342', 'c_343', 'c_350', 'c_351', 'c_352', 'c_353', 'c_358', 'c_359', 'c_360', 'c_361', 'c_366', 'c_367', 'c_368', 'c_375']",9.0,69.0,5.097,9.0,11.0,11.0,9.0,cresh15,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_26,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_11', 'c_12', 'c_13', 'c_17', 'c_18', 'c_19', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_30', 'c_31', 'c_33', 'c_34', 'c_35', 'c_36', 'c_37', 'c_38', 'c_41', 'c_42', 'c_43', 'c_44', 'c_45', 'c_46', 'c_47', 'c_48', 'c_49', 'c_60', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_341', 'c_351', 'c_352', 'c_358', 'c_359', 'c_360', 'c_366', 'c_367', 'c_368', 'c_374', 'c_375', 'c_381', 'c_382', 'c_401', 'c_550']",10.0,91.0,0.95,10.0,10.0,10.0,10.0,cresh26,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_15,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_8', 'c_17', 'c_18', 'c_25', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_300', 'c_301', 'c_302', 'c_303', 'c_314', 'c_315', 'c_316', 'c_317', 'c_318', 'c_319', 'c_328', 'c_329', 'c_330', 'c_331', 'c_332', 'c_333', 'c_334', 'c_340', 'c_341', 'c_342', 'c_343', 'c_344', 'c_350', 'c_351', 'c_352', 'c_353', 'c_354', 'c_358', 'c_359', 'c_360', 'c_361', 'c_366', 'c_368']",9.0,60.0,614.337,,11.0,11.0,9.0,cresh15,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_15,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_17', 'c_18', 'c_19', 'c_25', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_299', 'c_300', 'c_301', 'c_302', 'c_313', 'c_314', 'c_315', 'c_316', 'c_317', 'c_318', 'c_328', 'c_329', 'c_330', 'c_331', 'c_332', 'c_333', 'c_340', 'c_341', 'c_342', 'c_343', 'c_350', 'c_351', 'c_352', 'c_353', 'c_358', 'c_359', 'c_360', 'c_368']",9.0,105.0,6.533,9.0,11.0,11.0,9.0,cresh15,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_27,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_17', 'c_18', 'c_19', 'c_20', 'c_21', 'c_25', 'c_26', 'c_27', 'c_28', 'c_29', 'c_33', 'c_34', 'c_35', 'c_41', 'c_60', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_315', 'c_328', 'c_329', 'c_330', 'c_331', 'c_332', 'c_340', 'c_341', 'c_342', 'c_343', 'c_350', 'c_351', 'c_352', 'c_353', 'c_358', 'c_359', 'c_360', 'c_361', 'c_366', 'c_367', 'c_368', 'c_374', 'c_375', 'c_382']",9.0,81.0,8.062999999999999,10.0,10.0,11.0,10.0,cresh27,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
