user_node,cell_list,clo,heartRate_cozie,responseSpeed_cozie,comfort_cozie,noise_cozie,thermal_cozie,light_cozie,user_id,thermal_label
u_12,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_17', 'c_18', 'c_19', 'c_25', 'c_26', 'c_27', 'c_33', 'c_63', 'c_64', 'c_65', 'c_330', 'c_331', 'c_332', 'c_333', 'c_334', 'c_340', 'c_341', 'c_342', 'c_343', 'c_344', 'c_345', 'c_350', 'c_351', 'c_352', 'c_353', 'c_354', 'c_355', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_363', 'c_366', 'c_367', 'c_368', 'c_369', 'c_370', 'c_371', 'c_374', 'c_375', 'c_376', 'c_377']",9.0,83.0,12.339,,11.0,11.0,9.0,cresh12,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_09,"['c_9', 'c_10', 'c_11', 'c_12', 'c_13', 'c_14', 'c_15', 'c_16', 'c_24', 'c_54', 'c_55', 'c_56', 'c_57', 'c_58', 'c_59', 'c_60', 'c_61', 'c_73', 'c_74', 'c_75', 'c_278', 'c_280', 'c_281', 'c_293', 'c_294', 'c_295', 'c_296', 'c_297', 'c_308', 'c_309', 'c_310', 'c_311', 'c_312', 'c_313', 'c_323', 'c_324', 'c_325', 'c_326', 'c_327', 'c_328', 'c_338', 'c_339', 'c_348', 'c_349', 'c_492', 'c_525', 'c_526', 'c_527', 'c_528', 'c_529', 'c_530']",9.0,83.0,4.582,9.0,10.0,11.0,10.0,cresh09,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_09,"['c_9', 'c_10', 'c_11', 'c_12', 'c_13', 'c_14', 'c_15', 'c_16', 'c_24', 'c_54', 'c_55', 'c_56', 'c_57', 'c_58', 'c_59', 'c_60', 'c_61', 'c_73', 'c_74', 'c_75', 'c_278', 'c_280', 'c_281', 'c_293', 'c_294', 'c_295', 'c_296', 'c_297', 'c_308', 'c_309', 'c_310', 'c_311', 'c_312', 'c_313', 'c_323', 'c_324', 'c_325', 'c_326', 'c_327', 'c_328', 'c_338', 'c_339', 'c_348', 'c_349', 'c_492', 'c_525', 'c_526', 'c_527', 'c_528', 'c_529', 'c_530']",9.0,86.0,12.203,,11.0,11.0,10.0,cresh09,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_12,"['c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_17', 'c_18', 'c_19', 'c_25', 'c_26', 'c_27', 'c_28', 'c_33', 'c_34', 'c_35', 'c_41', 'c_42', 'c_65', 'c_340', 'c_341', 'c_342', 'c_343', 'c_350', 'c_351', 'c_352', 'c_353', 'c_354', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_363', 'c_366', 'c_367', 'c_368', 'c_369', 'c_370', 'c_371', 'c_374', 'c_375', 'c_376', 'c_377', 'c_380', 'c_381', 'c_382', 'c_383', 'c_384', 'c_398', 'c_399', 'c_400', 'c_401']",9.0,72.0,8.809,10.0,11.0,11.0,9.0,cresh12,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
