user_node,cell_list,clo,heartRate_cozie,responseSpeed_cozie,comfort_cozie,noise_cozie,thermal_cozie,light_cozie,user_id,thermal_label
u_12,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_9', 'c_10', 'c_11', 'c_12', 'c_13', 'c_14', 'c_15', 'c_16', 'c_17', 'c_18', 'c_19', 'c_20', 'c_21', 'c_22', 'c_25', 'c_28', 'c_29', 'c_30', 'c_54', 'c_55', 'c_58', 'c_59', 'c_60', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_297', 'c_298', 'c_299', 'c_311', 'c_312', 'c_313', 'c_314', 'c_315', 'c_325', 'c_326', 'c_327', 'c_328', 'c_329', 'c_330', 'c_331', 'c_340', 'c_341', 'c_351', 'c_352', 'c_359', 'c_360']",9.0,67.0,11.127,,11.0,10.0,10.0,cresh12,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_12,"['c_1', 'c_2', 'c_3', 'c_4', 'c_17', 'c_18', 'c_25', 'c_26', 'c_64', 'c_65', 'c_316', 'c_317', 'c_318', 'c_319', 'c_330', 'c_331', 'c_332', 'c_333', 'c_334', 'c_335', 'c_340', 'c_341', 'c_342', 'c_343', 'c_344', 'c_345', 'c_350', 'c_351', 'c_352', 'c_353', 'c_354', 'c_355', 'c_357', 'c_358', 'c_359', 'c_360', 'c_361', 'c_362', 'c_363', 'c_366', 'c_367', 'c_368', 'c_369', 'c_370', 'c_371', 'c_374', 'c_375', 'c_376', 'c_377']",9.0,68.0,9.828,10.0,11.0,10.0,10.0,cresh12,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
u_12,"['c_0', 'c_1', 'c_2', 'c_3', 'c_4', 'c_5', 'c_6', 'c_7', 'c_8', 'c_10', 'c_17', 'c_18', 'c_19', 'c_25', 'c_26', 'c_60', 'c_61', 'c_62', 'c_63', 'c_64', 'c_65', 'c_299', 'c_300', 'c_301', 'c_313', 'c_314', 'c_315', 'c_316', 'c_317', 'c_318', 'c_328', 'c_329', 'c_330', 'c_331', 'c_332', 'c_333', 'c_340', 'c_341', 'c_342', 'c_343', 'c_350', 'c_351', 'c_352', 'c_353', 'c_358', 'c_359', 'c_360', 'c_361', 'c_367', 'c_368']",9.0,77.0,8.055,10.0,11.0,11.0,10.0,cresh12,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
u_07,"['c_159', 'c_160', 'c_161', 'c_162', 'c_163', 'c_164', 'c_165', 'c_166', 'c_167', 'c_168', 'c_169', 'c_189', 'c_190', 'c_192', 'c_195', 'c_196', 'c_200', 'c_440', 'c_441', 'c_442', 'c_443', 'c_444', 'c_445', 'c_446', 'c_447', 'c_448', 'c_449', 'c_450', 'c_494', 'c_495', 'c_497', 'c_498', 'c_499', 'c_500', 'c_502', 'c_503', 'c_504', 'c_505', 'c_506', 'c_507', 'c_513']",11.0,109.0,5.888,10.0,10.0,10.0,10.0,cresh07,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
