label,node_label,node_storey,node_space,node_cell,node_user,node_furniture,node_fan,co2_sensing,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,voc_sensing,clo,heartRate_cozie,responseSpeed_cozie,area,occupancy,x,y
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.7159576,25.95800781
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.0788269,53.37044907
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.3013611,51.69387054
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.3530426,47.32857513
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.3530426,41.94635773
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.3530426,36.56414032
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.3530426,31.18192291
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.2213287,25.95800781
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.0525208,25.11373711
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.4205322,53.36566162
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.0024872,52.0440979
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.289856,49.40814972
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.6382751,47.26145554
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.28508,44.98052216
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.6358948,42.35653305
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.280304,40.55288696
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.2755127,37.91933441
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.6311035,36.13483047
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.2707367,33.49170685
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.6287079,31.22990417
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.2659454,29.06407166
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.9713745,26.4305172
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.2286682,24.74436951
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.2310638,53.76374054
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.6062317,24.74197769
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.3639832,46.91493988
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.6252441,49.03281784
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.6252441,51.71762848
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.3639832,55.35647202
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.4164429,55.86021042
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.7335815,52.8939209
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.2672577,50.84880829
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.8738098,47.0989151
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.8738098,41.3421936
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.4946136,40.92417145
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.6252441,44.42910004
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.8738098,35.58547211
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.4946136,36.03219986
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.8738098,29.82874489
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.3639832,30.03186607
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.6252441,32.53684235
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.8738098,24.07202148
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.4946136,24.23464584
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.6252441,27.93312454
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.8738098,18.31529617
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.3639832,18.32901382
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.6252441,20.64459038
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.9281464,13.72050858
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.7004089,12.00647545
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.9836273,13.35366631
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.6252441,16.04087067
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_102,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.8848877,51.7203331
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.2625427,50.84880829
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.4159851,47.0989151
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.4159851,41.3421936
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.4159851,35.58547211
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_107,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.4159851,29.82874489
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_108,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.4159851,24.07202148
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_109,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.4159851,18.31529617
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_110,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.981308,13.71811581
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.2645569,12.00168991
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.3332825,51.72033691
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.9342651,51.72033691
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.5583191,50.84880829
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_115,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.9581757,47.0989151
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_116,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.9581757,41.3421936
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_117,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.9581757,35.58547211
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.9581757,29.82874489
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.9581757,24.07202148
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.9581757,18.31529617
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.392868,13.71333218
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.5454712,11.99212074
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_123,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.8287048,11.99690533
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_124,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.3826599,51.72033691
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.5536194,50.84880829
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.5003662,47.0989151
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_127,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.5003662,41.3421936
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_128,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.5003662,35.58547211
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_129,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.5003662,29.82874489
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_130,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.5003662,24.07202148
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.5003662,18.31529617
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.4460449,13.71093941
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_133,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.1096191,11.98733711
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_134,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.8310394,51.72033691
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_135,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.4328461,50.3087616
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.0028076,47.51832581
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_137,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.7349854,45.5667038
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_138,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.736618,42.74355316
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_139,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.0044556,40.85735703
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_140,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.738266,38.00149155
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_141,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.0052795,35.60796738
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_142,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.7399139,33.25943375
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.0061035,30.35857391
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.7415466,28.51737213
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_145,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.7431946,25.6942215
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_146,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.0077362,23.69760704
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.7448425,20.95216179
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_148,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.0085754,18.44821548
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_149,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.74646,16.21010208
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_150,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.38974,13.38934326
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_151,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.6737976,11.98255157
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.6674652,64.94955444
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.6990051,63.77414703
"[0, 0, 1, 0, 0, 0, 0, 0, 0]",c_154,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.7199097,61.42606735
