id, x, y, space
122,178.545471191,11.9921207428,ENERGY_LAB_1
123,175.828704834,11.9969053268,ENERGY_LAB_1
124,183.382659912,51.7203369141,ENERGY_LAB_1
125,185.553619385,50.8488082886,ENERGY_LAB_1
126,185.500366211,47.0989151001,ENERGY_LAB_1
127,185.500366211,41.3421936035,ENERGY_LAB_1
128,185.500366211,35.5854721069,ENERGY_LAB_1
129,185.500366211,29.8287448883,ENERGY_LAB_1
130,185.500366211,24.0720214844,ENERGY_LAB_1
131,185.500366211,18.3152961731,ENERGY_LAB_1
132,185.446044922,13.7109394073,ENERGY_LAB_1
133,183.109619141,11.9873371124,ENERGY_LAB_1
134,187.831039429,51.7203369141,ENERGY_LAB_1
135,190.432846069,50.3087615967,ENERGY_LAB_1
136,190.002807617,47.5183258057,ENERGY_LAB_1
137,191.734985352,45.5667037964,ENERGY_LAB_1
138,191.736618042,42.7435531616,ENERGY_LAB_1
139,190.004455566,40.8573570251,ENERGY_LAB_1
140,191.738265991,38.0014915466,ENERGY_LAB_1
141,190.005279541,35.6079673767,ENERGY_LAB_1
142,191.739913940,33.2594337463,ENERGY_LAB_1
143,190.006103516,30.3585739136,ENERGY_LAB_1
144,191.741546631,28.5173721313,ENERGY_LAB_1
145,191.743194580,25.6942214966,ENERGY_LAB_1
146,190.007736206,23.6976070404,ENERGY_LAB_1
147,191.744842529,20.9521617889,ENERGY_LAB_1
148,190.008575439,18.4482154846,ENERGY_LAB_1
149,191.746459961,16.2101020813,ENERGY_LAB_1
150,190.389739990,13.3893432617,ENERGY_LAB_1
151,187.673797607,11.9825515747,ENERGY_LAB_1
152,165.667465210,64.9495544434,ENERGY_LAB_1
153,167.699005127,63.7741470337,ENERGY_LAB_1
154,168.719909668,61.4260673523,ENERGY_LAB_1
155,168.726745605,59.0789031982,ENERGY_LAB_1
156,162.625244141,58.2402572632,ENERGY_LAB_1
157,162.625244141,60.9250717163,ENERGY_LAB_1
158,163.639328003,63.6089706421,ENERGY_LAB_1
54,117.623321533,25.2513084412,OPEN_EXHIBITION_SPACE_2
56,121.645751953,21.1275501251,OPEN_EXHIBITION_SPACE_2
57,118.812271118,20.7335491180,OPEN_EXHIBITION_SPACE_2
58,117.623321533,30.0855331421,OPEN_EXHIBITION_SPACE_2
59,118.395187378,33.4343414307,OPEN_EXHIBITION_SPACE_2
60,117.623321533,36.8985137939,OPEN_EXHIBITION_SPACE_2
61,117.623321533,41.7327423096,OPEN_EXHIBITION_SPACE_2
62,118.395187378,45.1566581726,OPEN_EXHIBITION_SPACE_2
63,117.623321533,48.5457229614,OPEN_EXHIBITION_SPACE_2
64,117.623321533,53.3799476624,OPEN_EXHIBITION_SPACE_2
67,149.506698608,21.1275501251,OPEN_EXHIBITION_SPACE_2
68,147.448730469,18.8299026489,OPEN_EXHIBITION_SPACE_2
69,144.966339111,21.1275501251,OPEN_EXHIBITION_SPACE_2
70,141.499420166,19.9787254333,OPEN_EXHIBITION_SPACE_2
71,136.623535156,19.9787254333,OPEN_EXHIBITION_SPACE_2
72,133.306045532,21.1275501251,OPEN_EXHIBITION_SPACE_2
73,130.726486206,21.1275501251,OPEN_EXHIBITION_SPACE_2
74,127.274230957,18.8299026489,OPEN_EXHIBITION_SPACE_2
75,124.225326538,21.1275501251,OPEN_EXHIBITION_SPACE_2
159,49.4629440308,47.9886589050,OPEN_EXHIBITION_SPACE_2
160,51.5817337036,48.8942337036,OPEN_EXHIBITION_SPACE_2
161,53.5425338745,46.9905853271,OPEN_EXHIBITION_SPACE_2
162,53.2174453735,43.6691131592,OPEN_EXHIBITION_SPACE_2
163,50.7161254883,42.9405021667,OPEN_EXHIBITION_SPACE_2
164,48.3244857788,44.3189353943,OPEN_EXHIBITION_SPACE_2
165,47.7266044617,46.0456161499,OPEN_EXHIBITION_SPACE_2
166,48.9224967957,50.0241928101,OPEN_EXHIBITION_SPACE_2
167,50.2650833130,52.0300064087,OPEN_EXHIBITION_SPACE_2
168,51.2957267761,52.8499412537,OPEN_EXHIBITION_SPACE_2
169,52.0719375610,51.7497024536,OPEN_EXHIBITION_SPACE_2
170,59.4249343872,13.6767864227,OPEN_EXHIBITION_SPACE_2
171,53.5425338745,13.6767864227,OPEN_EXHIBITION_SPACE_2
172,53.0725364685,18.1419124603,OPEN_EXHIBITION_SPACE_2
173,55.0333366394,20.0455589294,OPEN_EXHIBITION_SPACE_2
174,59.4249343872,19.3877239227,OPEN_EXHIBITION_SPACE_2
175,53.6119194031,22.9533615112,OPEN_EXHIBITION_SPACE_2
176,55.0623168945,25.1509990692,OPEN_EXHIBITION_SPACE_2
177,59.4249343872,25.0986614227,OPEN_EXHIBITION_SPACE_2
178,53.6698837280,27.4533061981,OPEN_EXHIBITION_SPACE_2
179,55.0913009644,30.2564373016,OPEN_EXHIBITION_SPACE_2
180,59.4249343872,30.8095970154,OPEN_EXHIBITION_SPACE_2
181,53.7278442383,31.9532470703,OPEN_EXHIBITION_SPACE_2
182,53.7858085632,34.5495452881,OPEN_EXHIBITION_SPACE_2
183,55.1492614746,36.6600265503,OPEN_EXHIBITION_SPACE_2
184,59.4249343872,36.5205345154,OPEN_EXHIBITION_SPACE_2
185,53.8437728882,39.0494918823,OPEN_EXHIBITION_SPACE_2
186,55.1782455444,41.7654685974,OPEN_EXHIBITION_SPACE_2
187,59.4249343872,42.2314720154,OPEN_EXHIBITION_SPACE_2
188,59.4249343872,47.9424095154,OPEN_EXHIBITION_SPACE_2
189,55.5033378601,48.8942337036,OPEN_EXHIBITION_SPACE_2
190,55.0131378174,52.2256126404,OPEN_EXHIBITION_SPACE_2
191,58.4445343018,51.7497024536,OPEN_EXHIBITION_SPACE_2
192,55.0131378174,57.9365501404,OPEN_EXHIBITION_SPACE_2
193,58.4445343018,57.4606399536,OPEN_EXHIBITION_SPACE_2
194,58.4445343018,55.5569915771,OPEN_EXHIBITION_SPACE_2
195,55.5033378601,55.0810813904,OPEN_EXHIBITION_SPACE_2
196,54.5229339600,56.0329055786,OPEN_EXHIBITION_SPACE_2
197,55.5033378601,64.1234054565,OPEN_EXHIBITION_SPACE_2
198,59.4249343872,65.0752258301,OPEN_EXHIBITION_SPACE_2
199,58.4445343018,61.2679290771,OPEN_EXHIBITION_SPACE_2
200,55.0131378174,60.7920188904,OPEN_EXHIBITION_SPACE_2
201,53.7467269897,65.6057052612,OPEN_EXHIBITION_SPACE_2
202,52.7663269043,67.5093536377,OPEN_EXHIBITION_SPACE_2
203,53.5425338745,70.7861633301,OPEN_EXHIBITION_SPACE_2
204,59.4249343872,70.7861633301,OPEN_EXHIBITION_SPACE_2
205,65.3073348999,19.3877239227,OPEN_EXHIBITION_SPACE_2
206,65.3073348999,13.6767864227,OPEN_EXHIBITION_SPACE_2
207,65.3073348999,25.0986614227,OPEN_EXHIBITION_SPACE_2
208,65.3073348999,30.8095970154,OPEN_EXHIBITION_SPACE_2
209,65.3073348999,36.5205345154,OPEN_EXHIBITION_SPACE_2
210,65.3073348999,42.2314720154,OPEN_EXHIBITION_SPACE_2
211,65.3073348999,47.9424095154,OPEN_EXHIBITION_SPACE_2
212,60.4053344727,53.6533470154,OPEN_EXHIBITION_SPACE_2
213,65.3073348999,53.6533470154,OPEN_EXHIBITION_SPACE_2
214,60.4053344727,59.3642845154,OPEN_EXHIBITION_SPACE_2
215,65.3073348999,59.3642845154,OPEN_EXHIBITION_SPACE_2
216,65.3073348999,65.0752258301,OPEN_EXHIBITION_SPACE_2
217,63.3249740601,71.7476959229,OPEN_EXHIBITION_SPACE_2
218,65.2857742310,69.8440475464,OPEN_EXHIBITION_SPACE_2
219,71.1897354126,19.3877239227,OPEN_EXHIBITION_SPACE_2
220,71.1897354126,13.6767864227,OPEN_EXHIBITION_SPACE_2
221,71.1897354126,25.0986614227,OPEN_EXHIBITION_SPACE_2
222,71.1897354126,30.8095970154,OPEN_EXHIBITION_SPACE_2
223,71.1897354126,36.5205345154,OPEN_EXHIBITION_SPACE_2
224,71.1897354126,42.2314720154,OPEN_EXHIBITION_SPACE_2
225,71.1897354126,47.9424095154,OPEN_EXHIBITION_SPACE_2
226,71.1897354126,53.6533470154,OPEN_EXHIBITION_SPACE_2
227,71.1897354126,59.3642845154,OPEN_EXHIBITION_SPACE_2
228,71.1897354126,65.0752258301,OPEN_EXHIBITION_SPACE_2
229,67.6301727295,71.7491760254,OPEN_EXHIBITION_SPACE_2
230,70.5929412842,69.8358306885,OPEN_EXHIBITION_SPACE_2
231,77.0721359253,19.3877239227,OPEN_EXHIBITION_SPACE_2
232,77.0721359253,13.6767864227,OPEN_EXHIBITION_SPACE_2
233,77.0721359253,25.0986614227,OPEN_EXHIBITION_SPACE_2
234,77.0721359253,30.8095970154,OPEN_EXHIBITION_SPACE_2
235,77.0721359253,36.5205345154,OPEN_EXHIBITION_SPACE_2
236,77.0721359253,42.2314720154,OPEN_EXHIBITION_SPACE_2
237,77.0721359253,47.9424095154,OPEN_EXHIBITION_SPACE_2
238,77.0721359253,53.6533470154,OPEN_EXHIBITION_SPACE_2
239,77.0721359253,59.3642845154,OPEN_EXHIBITION_SPACE_2
240,77.0721359253,65.0752258301,OPEN_EXHIBITION_SPACE_2
241,72.3620986938,71.7327346802,OPEN_EXHIBITION_SPACE_2
242,73.8434753418,74.6475982666,OPEN_EXHIBITION_SPACE_2
243,76.0917358398,73.6416320801,OPEN_EXHIBITION_SPACE_2
244,78.0525360107,69.8343429565,OPEN_EXHIBITION_SPACE_2
245,82.9545364380,19.3877239227,OPEN_EXHIBITION_SPACE_2
246,82.9545364380,13.6767864227,OPEN_EXHIBITION_SPACE_2
247,82.9545364380,25.0986614227,OPEN_EXHIBITION_SPACE_2
248,82.9545364380,30.8095970154,OPEN_EXHIBITION_SPACE_2
249,82.9545364380,36.5205345154,OPEN_EXHIBITION_SPACE_2
250,82.9545364380,42.2314720154,OPEN_EXHIBITION_SPACE_2
251,82.9545364380,47.9424095154,OPEN_EXHIBITION_SPACE_2
252,82.9545364380,53.6533470154,OPEN_EXHIBITION_SPACE_2
253,82.9545364380,59.3642845154,OPEN_EXHIBITION_SPACE_2
254,82.9545364380,65.0752258301,OPEN_EXHIBITION_SPACE_2
255,82.9545364380,70.7861633301,OPEN_EXHIBITION_SPACE_2
256,78.0525360107,77.4489288330,OPEN_EXHIBITION_SPACE_2
257,82.9545364380,76.4971008301,OPEN_EXHIBITION_SPACE_2
258,77.0721359253,82.2080383301,OPEN_EXHIBITION_SPACE_2
259,82.9545364380,82.2080383301,OPEN_EXHIBITION_SPACE_2
260,77.3289108276,86.6685409546,OPEN_EXHIBITION_SPACE_2
261,79.9948959351,88.2735824585,OPEN_EXHIBITION_SPACE_2
262,83.6133270264,87.4710540771,OPEN_EXHIBITION_SPACE_2
263,88.8369445801,19.3877239227,OPEN_EXHIBITION_SPACE_2
264,88.8369445801,13.6767864227,OPEN_EXHIBITION_SPACE_2
265,88.8369445801,25.0986614227,OPEN_EXHIBITION_SPACE_2
266,88.8369445801,30.8095970154,OPEN_EXHIBITION_SPACE_2
267,88.8369445801,36.5205345154,OPEN_EXHIBITION_SPACE_2
268,88.8369445801,42.2314720154,OPEN_EXHIBITION_SPACE_2
269,88.8369445801,47.9424095154,OPEN_EXHIBITION_SPACE_2
270,88.8369445801,53.6533470154,OPEN_EXHIBITION_SPACE_2
271,88.8369445801,59.3642845154,OPEN_EXHIBITION_SPACE_2
272,88.8369445801,65.0752258301,OPEN_EXHIBITION_SPACE_2
273,88.8369445801,70.7861633301,OPEN_EXHIBITION_SPACE_2
274,88.8369445801,76.4971008301,OPEN_EXHIBITION_SPACE_2
275,88.8369445801,82.2080383301,OPEN_EXHIBITION_SPACE_2
276,87.6709442139,88.2735748291,OPEN_EXHIBITION_SPACE_2
277,89.4585571289,86.6685409546,OPEN_EXHIBITION_SPACE_2
278,94.7193450928,19.3877239227,OPEN_EXHIBITION_SPACE_2
279,94.7193450928,13.6767864227,OPEN_EXHIBITION_SPACE_2
280,94.7193450928,25.0986614227,OPEN_EXHIBITION_SPACE_2
281,94.7193450928,30.8095970154,OPEN_EXHIBITION_SPACE_2
282,94.7193450928,36.5205345154,OPEN_EXHIBITION_SPACE_2
283,94.7193450928,42.2314720154,OPEN_EXHIBITION_SPACE_2
284,94.7193450928,47.9424095154,OPEN_EXHIBITION_SPACE_2
285,94.7193450928,53.6533470154,OPEN_EXHIBITION_SPACE_2
286,94.7193450928,59.3642845154,OPEN_EXHIBITION_SPACE_2
287,94.7193450928,65.0752258301,OPEN_EXHIBITION_SPACE_2
288,94.7193450928,70.7861633301,OPEN_EXHIBITION_SPACE_2
289,94.7193450928,76.4971008301,OPEN_EXHIBITION_SPACE_2
290,94.7193450928,82.2080383301,OPEN_EXHIBITION_SPACE_2
291,92.4893722534,88.2735824585,OPEN_EXHIBITION_SPACE_2
292,94.8089599609,86.6685409546,OPEN_EXHIBITION_SPACE_2
293,100.601745605,19.3877239227,OPEN_EXHIBITION_SPACE_2
294,100.601745605,13.6767864227,OPEN_EXHIBITION_SPACE_2
295,100.601745605,25.0986614227,OPEN_EXHIBITION_SPACE_2
296,100.601745605,30.8095970154,OPEN_EXHIBITION_SPACE_2
297,100.601745605,36.5205345154,OPEN_EXHIBITION_SPACE_2
298,100.601745605,42.2314720154,OPEN_EXHIBITION_SPACE_2
299,100.601745605,47.9424095154,OPEN_EXHIBITION_SPACE_2
300,100.601745605,53.6533470154,OPEN_EXHIBITION_SPACE_2
301,100.601745605,59.3642845154,OPEN_EXHIBITION_SPACE_2
302,100.601745605,65.0752258301,OPEN_EXHIBITION_SPACE_2
303,100.601745605,70.7861633301,OPEN_EXHIBITION_SPACE_2
304,100.601745605,76.4971008301,OPEN_EXHIBITION_SPACE_2
305,100.601745605,82.2080383301,OPEN_EXHIBITION_SPACE_2
306,97.3078002930,88.2735748291,OPEN_EXHIBITION_SPACE_2
307,101.009803772,87.4710540771,OPEN_EXHIBITION_SPACE_2
308,106.484146118,19.3877239227,OPEN_EXHIBITION_SPACE_2
309,106.484146118,13.6767864227,OPEN_EXHIBITION_SPACE_2
310,106.484146118,25.0986614227,OPEN_EXHIBITION_SPACE_2
311,106.484146118,30.8095970154,OPEN_EXHIBITION_SPACE_2
312,106.484146118,36.5205345154,OPEN_EXHIBITION_SPACE_2
313,106.484146118,42.2314720154,OPEN_EXHIBITION_SPACE_2
314,106.484146118,47.9424095154,OPEN_EXHIBITION_SPACE_2
315,106.484146118,53.6533470154,OPEN_EXHIBITION_SPACE_2
316,106.484146118,59.3642845154,OPEN_EXHIBITION_SPACE_2
317,106.484146118,65.0752258301,OPEN_EXHIBITION_SPACE_2
318,106.484146118,70.7861633301,OPEN_EXHIBITION_SPACE_2
319,106.484146118,76.4971008301,OPEN_EXHIBITION_SPACE_2
320,106.484146118,82.2080383301,OPEN_EXHIBITION_SPACE_2
321,104.983848572,88.2735748291,OPEN_EXHIBITION_SPACE_2
322,106.938598633,86.6685409546,OPEN_EXHIBITION_SPACE_2
323,112.366546631,19.3877239227,OPEN_EXHIBITION_SPACE_2
324,112.366546631,13.6767864227,OPEN_EXHIBITION_SPACE_2
325,112.366546631,25.0986614227,OPEN_EXHIBITION_SPACE_2
326,112.366546631,30.8095970154,OPEN_EXHIBITION_SPACE_2
327,112.366546631,36.5205345154,OPEN_EXHIBITION_SPACE_2
328,112.366546631,42.2314720154,OPEN_EXHIBITION_SPACE_2
329,112.366546631,47.9424095154,OPEN_EXHIBITION_SPACE_2
330,112.366546631,53.6533470154,OPEN_EXHIBITION_SPACE_2
331,112.366546631,59.3642845154,OPEN_EXHIBITION_SPACE_2
332,112.366546631,65.0752258301,OPEN_EXHIBITION_SPACE_2
333,112.366546631,70.7861633301,OPEN_EXHIBITION_SPACE_2
334,112.366546631,76.4971008301,OPEN_EXHIBITION_SPACE_2
335,112.366546631,82.2080383301,OPEN_EXHIBITION_SPACE_2
336,109.802268982,88.2735748291,OPEN_EXHIBITION_SPACE_2
337,112.289024353,86.6685409546,OPEN_EXHIBITION_SPACE_2
338,117.268547058,18.4359016418,OPEN_EXHIBITION_SPACE_2
339,118.248947144,13.6767864227,OPEN_EXHIBITION_SPACE_2
340,117.268547058,60.3161087036,OPEN_EXHIBITION_SPACE_2
341,118.812255859,57.9379577637,OPEN_EXHIBITION_SPACE_2
342,118.248947144,65.0752258301,OPEN_EXHIBITION_SPACE_2
343,118.248947144,70.7861633301,OPEN_EXHIBITION_SPACE_2
344,118.248947144,76.4971008301,OPEN_EXHIBITION_SPACE_2
345,118.248947144,82.2080383301,OPEN_EXHIBITION_SPACE_2
346,114.620697021,88.2735824585,OPEN_EXHIBITION_SPACE_2
347,117.639427185,86.6685409546,OPEN_EXHIBITION_SPACE_2
348,127.072555542,14.6286087036,OPEN_EXHIBITION_SPACE_2
349,123.150955200,12.7249631882,OPEN_EXHIBITION_SPACE_2
350,124.131347656,65.0752258301,OPEN_EXHIBITION_SPACE_2
351,124.023643494,59.8416061401,OPEN_EXHIBITION_SPACE_2
352,121.645751953,57.4634513855,OPEN_EXHIBITION_SPACE_2
353,124.131347656,70.7861633301,OPEN_EXHIBITION_SPACE_2
354,124.131347656,76.4971008301,OPEN_EXHIBITION_SPACE_2
355,124.131347656,82.2080383301,OPEN_EXHIBITION_SPACE_2
356,119.439132690,88.2735748291,OPEN_EXHIBITION_SPACE_2
357,123.490707397,87.4710540771,OPEN_EXHIBITION_SPACE_2
358,130.013748169,65.0752258301,OPEN_EXHIBITION_SPACE_2
359,129.812988281,58.6525268555,OPEN_EXHIBITION_SPACE_2
360,126.186119080,57.4634513855,OPEN_EXHIBITION_SPACE_2
361,130.013748169,70.7861633301,OPEN_EXHIBITION_SPACE_2
362,130.013748169,76.4971008301,OPEN_EXHIBITION_SPACE_2
363,130.013748169,82.2080383301,OPEN_EXHIBITION_SPACE_2
364,127.115173340,88.2735748291,OPEN_EXHIBITION_SPACE_2
365,130.718338013,87.4710540771,OPEN_EXHIBITION_SPACE_2
366,135.896148682,65.0752258301,OPEN_EXHIBITION_SPACE_2
367,136.623535156,58.6525268555,OPEN_EXHIBITION_SPACE_2
368,133.306045532,57.4634513855,OPEN_EXHIBITION_SPACE_2
369,135.896148682,70.7861633301,OPEN_EXHIBITION_SPACE_2
370,135.896148682,76.4971008301,OPEN_EXHIBITION_SPACE_2
371,135.896148682,82.2080383301,OPEN_EXHIBITION_SPACE_2
372,134.791229248,88.2735824585,OPEN_EXHIBITION_SPACE_2
373,136.548309326,86.6685409546,OPEN_EXHIBITION_SPACE_2
374,141.778549194,65.0752258301,OPEN_EXHIBITION_SPACE_2
375,141.499420166,58.6525268555,OPEN_EXHIBITION_SPACE_2
376,141.778549194,70.7861633301,OPEN_EXHIBITION_SPACE_2
377,141.778549194,76.4971008301,OPEN_EXHIBITION_SPACE_2
378,141.778549194,82.2080383301,OPEN_EXHIBITION_SPACE_2
379,140.887176514,87.4710540771,OPEN_EXHIBITION_SPACE_2
380,147.660949707,65.0752258301,OPEN_EXHIBITION_SPACE_2
381,147.448730469,59.8416061401,OPEN_EXHIBITION_SPACE_2
382,144.966323853,57.4634513855,OPEN_EXHIBITION_SPACE_2
383,147.660949707,70.7861633301,OPEN_EXHIBITION_SPACE_2
384,147.660949707,76.4971008301,OPEN_EXHIBITION_SPACE_2
385,147.660949707,82.2080383301,OPEN_EXHIBITION_SPACE_2
386,144.428085327,88.2735824585,OPEN_EXHIBITION_SPACE_2
387,147.249130249,86.6685409546,OPEN_EXHIBITION_SPACE_2
388,154.093460083,2.70282816887,OPEN_EXHIBITION_SPACE_2
389,150.547302246,2.95748949051,OPEN_EXHIBITION_SPACE_2
390,149.172729492,5.07184648514,OPEN_EXHIBITION_SPACE_2
391,149.530090332,8.09498214722,OPEN_EXHIBITION_SPACE_2
392,153.543365479,7.96584892273,OPEN_EXHIBITION_SPACE_2
393,146.961914063,10.3156003952,OPEN_EXHIBITION_SPACE_2
394,147.660949707,13.6767864227,OPEN_EXHIBITION_SPACE_2
395,153.543365479,13.6767864227,OPEN_EXHIBITION_SPACE_2
396,152.660125732,20.7335491180,OPEN_EXHIBITION_SPACE_2
397,154.523773193,18.4359016418,OPEN_EXHIBITION_SPACE_2
398,153.543365479,65.0752258301,OPEN_EXHIBITION_SPACE_2
399,154.523773193,60.3161087036,OPEN_EXHIBITION_SPACE_2
400,152.660125732,57.9379577637,OPEN_EXHIBITION_SPACE_2
401,149.506698608,57.4634513855,OPEN_EXHIBITION_SPACE_2
402,153.543365479,70.7861633301,OPEN_EXHIBITION_SPACE_2
403,153.543365479,76.4971008301,OPEN_EXHIBITION_SPACE_2
404,152.562973022,82.2080383301,OPEN_EXHIBITION_SPACE_2
405,154.523773193,80.3043975830,OPEN_EXHIBITION_SPACE_2
406,149.246505737,88.2735824585,OPEN_EXHIBITION_SPACE_2
407,153.199249268,87.4710540771,OPEN_EXHIBITION_SPACE_2
408,154.523773193,84.1116867065,OPEN_EXHIBITION_SPACE_2
409,157.935150146,8.17514991760,OPEN_EXHIBITION_SPACE_2
410,159.384521484,6.04954814911,OPEN_EXHIBITION_SPACE_2
411,158.007568359,3.28338980675,OPEN_EXHIBITION_SPACE_2
412,157.936340332,13.3655195236,OPEN_EXHIBITION_SPACE_2
413,159.386901855,10.7193517685,OPEN_EXHIBITION_SPACE_2
414,157.938720703,19.9389705658,OPEN_EXHIBITION_SPACE_2
415,159.391693115,18.1553134918,OPEN_EXHIBITION_SPACE_2
416,159.389312744,15.3891553879,OPEN_EXHIBITION_SPACE_2
417,152.757263184,24.3503684998,OPEN_EXHIBITION_SPACE_2
418,154.620910645,27.7636566162,OPEN_EXHIBITION_SPACE_2
419,157.941131592,28.4160671234,OPEN_EXHIBITION_SPACE_2
420,159.396484375,25.5912761688,OPEN_EXHIBITION_SPACE_2
421,159.394088745,22.8251171112,OPEN_EXHIBITION_SPACE_2
422,157.949493408,59.0377197266,OPEN_EXHIBITION_SPACE_2
423,159.413238525,56.3762588501,OPEN_EXHIBITION_SPACE_2
424,157.948303223,53.8473510742,OPEN_EXHIBITION_SPACE_2
425,153.689086914,53.3799476624,OPEN_EXHIBITION_SPACE_2
426,157.951889038,65.6111755371,OPEN_EXHIBITION_SPACE_2
427,159.418014526,63.8122177124,OPEN_EXHIBITION_SPACE_2
428,159.415618896,61.0460624695,OPEN_EXHIBITION_SPACE_2
429,157.955108643,70.5748596191,OPEN_EXHIBITION_SPACE_2
430,159.422424316,68.2553405762,OPEN_EXHIBITION_SPACE_2
431,157.961547852,76.6949310303,OPEN_EXHIBITION_SPACE_2
432,159.435317993,74.7845535278,OPEN_EXHIBITION_SPACE_2
433,159.428863525,72.4717712402,OPEN_EXHIBITION_SPACE_2
434,157.41796875,80.7067947388,OPEN_EXHIBITION_SPACE_2
435,158.894958496,79.0009765625,OPEN_EXHIBITION_SPACE_2
436,156.922576904,87.2381515503,OPEN_EXHIBITION_SPACE_2
437,158.351379395,85.1672973633,OPEN_EXHIBITION_SPACE_2
438,157.41796875,83.6458663940,OPEN_EXHIBITION_SPACE_2
