id, x, y, space
0,123.246849060,47.2758102417,CAFE
1,121.592880249,49.4392509460,CAFE
2,122.885040283,52.0752029419,CAFE
3,125.469390869,53.3895874023,CAFE
4,127.588554382,51.7034416199,CAFE
5,127.536865234,47.3285751343,CAFE
6,127.536865234,41.9463577271,CAFE
7,122.419860840,41.5901794434,CAFE
8,121.592880249,45.0068359375,CAFE
9,127.536865234,36.5641403198,CAFE
10,122.419860840,36.9203186035,CAFE
11,127.536865234,31.1819229126,CAFE
12,123.246849060,31.2346916199,CAFE
13,121.592880249,33.5036659241,CAFE
14,126.639884949,25.9580078125,CAFE
15,122.882652283,26.4329071045,CAFE
16,121.592880249,29.0712490082,CAFE
17,129.811096191,53.3848037720,CAFE
18,132.395431519,51.7010459900,CAFE
19,132.808929443,47.3285751343,CAFE
20,132.808929443,41.9463577271,CAFE
21,132.808929443,36.5641403198,CAFE
22,132.808929443,31.1819229126,CAFE
23,133.145248413,25.9580059052,CAFE
24,129.799133301,25.1137371063,CAFE
25,134.152801514,53.3800163269,CAFE
26,136.737136841,53.3752365112,CAFE
27,138.494476318,51.6962585449,CAFE
28,138.080978394,47.3285751343,CAFE
29,138.080978394,41.9463577271,CAFE
30,138.080978394,36.5641403198,CAFE
31,138.080978394,31.1819229126,CAFE
32,137.715957642,25.9580078125,CAFE
33,141.078826904,53.3704490662,CAFE
34,143.301361084,51.6938705444,CAFE
35,143.353042603,47.3285751343,CAFE
36,143.353042603,41.9463577271,CAFE
37,143.353042603,36.5641403198,CAFE
38,143.353042603,31.1819229126,CAFE
39,144.221328735,25.9580078125,CAFE
40,141.052520752,25.1137371063,CAFE
41,145.420532227,53.3656616211,CAFE
42,148.002487183,52.0440979004,CAFE
43,149.289855957,49.4081497192,CAFE
44,147.638275146,47.2614555359,CAFE
45,149.285079956,44.9805221558,CAFE
46,147.635894775,42.3565330505,CAFE
47,149.280303955,40.5528869629,CAFE
48,149.275512695,37.9193344116,CAFE
49,147.631103516,36.1348304749,CAFE
50,149.270736694,33.4917068481,CAFE
51,147.628707886,31.2299041748,CAFE
52,149.265945435,29.0640716553,CAFE
53,147.971374512,26.4305171967,CAFE
55,121.228668213,24.7443695068,CAFE
65,121.231063843,53.7637405396,CAFE
66,149.606231689,24.7419776917,CAFE
76,164.363983154,46.9149398804,ENERGY_LAB_1
77,162.625244141,49.0328178406,ENERGY_LAB_1
78,162.625244141,51.7176284790,ENERGY_LAB_1
79,164.363983154,55.3564720154,ENERGY_LAB_1
80,167.416442871,55.8602104187,ENERGY_LAB_1
81,168.733581543,52.8939208984,ENERGY_LAB_1
82,169.267257690,50.8488082886,ENERGY_LAB_1
83,168.873809814,47.0989151001,ENERGY_LAB_1
84,168.873809814,41.3421936035,ENERGY_LAB_1
85,163.494613647,40.9241714478,ENERGY_LAB_1
86,162.625244141,44.4291000366,ENERGY_LAB_1
87,168.873809814,35.5854721069,ENERGY_LAB_1
88,163.494613647,36.0321998596,ENERGY_LAB_1
89,168.873809814,29.8287448883,ENERGY_LAB_1
90,164.363983154,30.0318660736,ENERGY_LAB_1
91,162.625244141,32.5368423462,ENERGY_LAB_1
92,168.873809814,24.0720214844,ENERGY_LAB_1
93,163.494613647,24.2346458435,ENERGY_LAB_1
94,162.625244141,27.9331245422,ENERGY_LAB_1
95,168.873809814,18.3152961731,ENERGY_LAB_1
96,164.363983154,18.3290138245,ENERGY_LAB_1
97,162.625244141,20.6445903778,ENERGY_LAB_1
98,168.928146362,13.7205085754,ENERGY_LAB_1
99,166.700408936,12.0064754486,ENERGY_LAB_1
100,163.983627319,13.3536663055,ENERGY_LAB_1
101,162.625244141,16.0408706665,ENERGY_LAB_1
102,171.884887695,51.7203330994,ENERGY_LAB_1
103,174.262542725,50.8488082886,ENERGY_LAB_1
104,174.415985107,47.0989151001,ENERGY_LAB_1
105,174.415985107,41.3421936035,ENERGY_LAB_1
106,174.415985107,35.5854721069,ENERGY_LAB_1
107,174.415985107,29.8287448883,ENERGY_LAB_1
108,174.415985107,24.0720214844,ENERGY_LAB_1
109,174.415985107,18.3152961731,ENERGY_LAB_1
110,173.981307983,13.7181158066,ENERGY_LAB_1
111,171.264556885,12.0016899109,ENERGY_LAB_1
112,176.333282471,51.7203369141,ENERGY_LAB_1
113,178.934265137,51.7203369141,ENERGY_LAB_1
114,180.558319092,50.8488082886,ENERGY_LAB_1
115,179.958175659,47.0989151001,ENERGY_LAB_1
116,179.958175659,41.3421936035,ENERGY_LAB_1
117,179.958175659,35.5854721069,ENERGY_LAB_1
118,179.958175659,29.8287448883,ENERGY_LAB_1
119,179.958175659,24.0720214844,ENERGY_LAB_1
120,179.958175659,18.3152961731,ENERGY_LAB_1
121,180.392868042,13.7133321762,ENERGY_LAB_1
