cell,skin_temp,heart_rate,thermal_vote
C001239-S0304,27.0,94.0,10.0
C001240-S0304,27.0,94.0,10.0
C000374-S0304,31.875,82.0,10.0
C000375-S0304,31.875,82.0,10.0
C000406-S0304,31.875,82.0,10.0
C000407-S0304,31.875,82.0,10.0
C000082-S0303,29.0,92.0,10.0
C000083-S0303,29.0,92.0,10.0
C000098-S0303,29.0,92.0,10.0
C000099-S0303,29.0,92.0,10.0
C000092-S0303,29.25,93.0,10.0
C000093-S0303,29.25,93.0,10.0
C000094-S0303,29.25,93.0,10.0
C000109-S0303,29.25,93.0,10.0
C000001-S0301,29.125,86.0,10.0
C000399-S0301,29.125,86.0,10.0
C000400-S0301,29.125,86.0,10.0
C000401-S0301,29.125,86.0,10.0
C001974-S0304,29.125,86.0,10.0
C001975-S0304,29.125,86.0,10.0
C002494-S0304,29.125,86.0,10.0
C002495-S0304,29.125,86.0,10.0
C002496-S0304,29.125,86.0,10.0
C000131-S0303,29.125,91.0,10.0
C000132-S0303,29.125,91.0,10.0
C000147-S0303,29.125,91.0,10.0
C000148-S0303,29.125,91.0,10.0
C000485-S0302,29.125,114.0,10.0
C000828-S0302,29.125,114.0,10.0
C000829-S0302,29.125,114.0,10.0
C000830-S0302,29.125,114.0,10.0
C002172-S0304,29.125,114.0,10.0
C002173-S0304,29.125,114.0,10.0
C002414-S0304,29.125,114.0,10.0
C002415-S0304,29.125,114.0,10.0
C002416-S0304,29.125,114.0,10.0
C000490-S0304,29.625,85.0,10.0
C000530-S0304,29.625,85.0,10.0
C000531-S0304,29.625,85.0,10.0
C000570-S0304,29.625,85.0,10.0
C000718-S0304,30.5,94.0,9.0
C000719-S0304,30.5,94.0,9.0
C000758-S0304,30.5,94.0,9.0
C000759-S0304,30.5,94.0,9.0
C000199-S0301,29.875,70.0,11.0
C000200-S0301,29.875,70.0,11.0
C000220-S0301,29.875,70.0,11.0
C000221-S0301,29.875,70.0,11.0
C000043-S0303,29.125,89.0,10.0
C000058-S0303,29.125,89.0,10.0
C000059-S0303,29.125,89.0,10.0
C000075-S0303,29.125,89.0,10.0
C000030-S0303,29.375,91.0,10.0
C000031-S0303,29.375,91.0,10.0
C000046-S0303,29.375,91.0,10.0
C000047-S0303,29.375,91.0,10.0
C000823-S0302,30.75,79.0,11.0
C002165-S0304,30.75,79.0,11.0
C002177-S0304,30.75,79.0,11.0
C002178-S0304,30.75,79.0,11.0
C002421-S0304,30.75,79.0,11.0
C001082-S0304,27.25,92.0,9.0
C001083-S0304,27.25,92.0,9.0
C001122-S0304,27.25,92.0,9.0
C001123-S0304,27.25,92.0,9.0
C000880-S0304,29.0,88.0,9.0
C000881-S0304,29.0,88.0,9.0
C000920-S0304,29.0,88.0,9.0
C000921-S0304,29.0,88.0,9.0
C000015-S0303,27.5,90.0,9.0
C000031-S0303,27.5,90.0,9.0
C000047-S0303,27.5,90.0,9.0
C000323-S0303,27.5,90.0,9.0
C000324-S0303,27.5,90.0,9.0
C002678-S0304,27.5,90.0,9.0
C002679-S0304,27.5,90.0,9.0
C002771-S0304,27.5,90.0,9.0
C002772-S0304,27.5,90.0,9.0
C000960-S0304,27.0,80.0,9.0
C000961-S0304,27.0,80.0,9.0
C001000-S0304,27.0,80.0,9.0
C001001-S0304,27.0,80.0,9.0
C001075-S0304,26.875,83.0,9.0
C001076-S0304,26.875,83.0,9.0
C001115-S0304,26.875,83.0,9.0
C001116-S0304,26.875,83.0,9.0
C001001-S0304,27.125,81.0,9.0
C001002-S0304,27.125,81.0,9.0
C001041-S0304,27.125,81.0,9.0
C001042-S0304,27.125,81.0,9.0
C000129-S0303,31.375,96.0,10.0
C000130-S0303,31.375,96.0,10.0
C000131-S0303,31.375,96.0,10.0
C000146-S0303,31.375,96.0,10.0
C000278-S0303,29.375,106.0,11.0
C000279-S0303,29.375,106.0,11.0
C001706-S0304,29.375,106.0,11.0
C001729-S0304,29.375,106.0,11.0
C002723-S0304,29.375,106.0,11.0
C002724-S0304,29.375,106.0,11.0
C000088-S0303,30.625,97.0,10.0
C000104-S0303,30.625,97.0,10.0
C000105-S0303,30.625,97.0,10.0
C000120-S0303,30.625,97.0,10.0
C000196-S0303,30.25,98.0,10.0
C000197-S0303,30.25,98.0,10.0
C000198-S0303,30.25,98.0,10.0
C000213-S0303,30.25,98.0,10.0
C000044-S0303,30.0,70.0,10.0
C000059-S0303,30.0,70.0,10.0
C000060-S0303,30.0,70.0,10.0
C000061-S0303,30.0,70.0,10.0
C000076-S0303,30.0,70.0,10.0
C000079-S0303,30.0,79.0,10.0
C000095-S0303,30.0,79.0,10.0
C000318-S0303,30.0,79.0,10.0
C000319-S0303,30.0,79.0,10.0
C000320-S0303,30.0,79.0,10.0
C002682-S0304,30.0,79.0,10.0
C002683-S0304,30.0,79.0,10.0
C002684-S0304,30.0,79.0,10.0
C002775-S0304,30.0,79.0,10.0
C002776-S0304,30.0,79.0,10.0
C001281-S0304,30.125,97.0,10.0
C001282-S0304,30.125,97.0,10.0
C001321-S0304,30.125,97.0,10.0
C001322-S0304,30.125,97.0,10.0
C000064-S0303,30.375,86.0,10.0
C000065-S0303,30.375,86.0,10.0
C000080-S0303,30.375,86.0,10.0
C000081-S0303,30.375,86.0,10.0
C000235-S0304,30.125,90.0,10.0
C000267-S0304,30.125,90.0,10.0
C000268-S0304,30.125,90.0,10.0
C000299-S0304,30.125,90.0,10.0
C000405-S0301,31.625,69.0,10.0
C000406-S0301,31.625,69.0,10.0
C000407-S0301,31.625,69.0,10.0
C002018-S0304,31.625,69.0,10.0
C002021-S0304,31.625,69.0,10.0
C002489-S0304,31.625,69.0,10.0
C002490-S0304,31.625,69.0,10.0
C002778-S0304,31.625,69.0,10.0
C002780-S0304,31.625,69.0,10.0
C001493-S0304,31.5,68.0,10.0
C001494-S0304,31.5,68.0,10.0
C001516-S0304,31.5,68.0,10.0
C001517-S0304,31.5,68.0,10.0
C000006-S0303,31.5,67.0,10.0
C000021-S0303,31.5,67.0,10.0
C000022-S0303,31.5,67.0,10.0
C000023-S0303,31.5,67.0,10.0
C000244-S0301,29.375,103.0,10.0
C000245-S0301,29.375,103.0,10.0
C000265-S0301,29.375,103.0,10.0
C000266-S0301,29.375,103.0,10.0
C000064-S0303,29.875,86.0,10.0
C000065-S0303,29.875,86.0,10.0
C000080-S0303,29.875,86.0,10.0
C000081-S0303,29.875,86.0,10.0
C001562-S0304,31.375,75.0,10.0
C001563-S0304,31.375,75.0,10.0
C001585-S0304,31.375,75.0,10.0
C001586-S0304,31.375,75.0,10.0
C000145-S0303,31.5,79.0,10.0
C000146-S0303,31.5,79.0,10.0
C000161-S0303,31.5,79.0,10.0
C000162-S0303,31.5,79.0,10.0
C000130-S0303,31.75,76.0,10.0
C000131-S0303,31.75,76.0,10.0
C000146-S0303,31.75,76.0,10.0
C000147-S0303,31.75,76.0,10.0
C001677-S0304,30.875,83.0,10.0
C001678-S0304,30.875,83.0,10.0
C001700-S0304,30.875,83.0,10.0
C001701-S0304,30.875,83.0,10.0
C001852-S0304,31.5,90.0,10.0
C001853-S0304,31.5,90.0,10.0
C001897-S0304,31.5,90.0,10.0
C001898-S0304,31.5,90.0,10.0
C001543-S0304,31.75,75.0,10.0
C001544-S0304,31.75,75.0,10.0
C001566-S0304,31.75,75.0,10.0
C001567-S0304,31.75,75.0,10.0
C000179-S0303,31.5,78.0,10.0
C000180-S0303,31.5,78.0,10.0
C000195-S0303,31.5,78.0,10.0
C000196-S0303,31.5,78.0,10.0
C000146-S0303,31.5,68.0,10.0
C000147-S0303,31.5,68.0,10.0
C000162-S0303,31.5,68.0,10.0
